id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
69,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,high,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-high.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-high.csv,trend_nonlinear.csv
70,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,low,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-low.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-low.csv,trend_nonlinear.csv
71,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,medium,none,dataset-TR_nonlinear_rel-polynom3-lvl_medium-sac-none.csv,target-TR_nonlinear_rel-polynom3-lvl_medium-sac-none.csv,trend_nonlinear.csv
72,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-linear-lvl_large-sac-high.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-high.csv,trend_nonlinear.csv
73,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-linear-lvl_large-sac-low.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-low.csv,trend_nonlinear.csv
74,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-linear-lvl_large-sac-none.csv,target-TR_nonlinear_rel-linear-lvl_large-sac-none.csv,trend_nonlinear.csv
75,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-high.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-high.csv,trend_nonlinear.csv
76,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-low.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-low.csv,trend_nonlinear.csv
77,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-polynom2-lvl_large-sac-none.csv,target-TR_nonlinear_rel-polynom2-lvl_large-sac-none.csv,trend_nonlinear.csv
78,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,high,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-high.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-high.csv,trend_nonlinear.csv
79,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,low,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-low.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-low.csv,trend_nonlinear.csv
80,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",nonlinear,large,none,dataset-TR_nonlinear_rel-polynom3-lvl_large-sac-none.csv,target-TR_nonlinear_rel-polynom3-lvl_large-sac-none.csv,trend_nonlinear.csv
81,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,high,dataset-TR_random_con_rel-linear-lvl_small-sac-high.csv,target-TR_random_con_rel-linear-lvl_small-sac-high.csv,trend_random_con.csv
82,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,low,dataset-TR_random_con_rel-linear-lvl_small-sac-low.csv,target-TR_random_con_rel-linear-lvl_small-sac-low.csv,trend_random_con.csv
83,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,small,none,dataset-TR_random_con_rel-linear-lvl_small-sac-none.csv,target-TR_random_con_rel-linear-lvl_small-sac-none.csv,trend_random_con.csv
84,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,high,dataset-TR_random_con_rel-polynom2-lvl_small-sac-high.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-high.csv,trend_random_con.csv
85,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,low,dataset-TR_random_con_rel-polynom2-lvl_small-sac-low.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-low.csv,trend_random_con.csv
86,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,small,none,dataset-TR_random_con_rel-polynom2-lvl_small-sac-none.csv,target-TR_random_con_rel-polynom2-lvl_small-sac-none.csv,trend_random_con.csv
87,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,high,dataset-TR_random_con_rel-polynom3-lvl_small-sac-high.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-high.csv,trend_random_con.csv
88,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,low,dataset-TR_random_con_rel-polynom3-lvl_small-sac-low.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-low.csv,trend_random_con.csv
89,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,small,none,dataset-TR_random_con_rel-polynom3-lvl_small-sac-none.csv,target-TR_random_con_rel-polynom3-lvl_small-sac-none.csv,trend_random_con.csv
90,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,high,dataset-TR_random_con_rel-linear-lvl_medium-sac-high.csv,target-TR_random_con_rel-linear-lvl_medium-sac-high.csv,trend_random_con.csv
91,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,low,dataset-TR_random_con_rel-linear-lvl_medium-sac-low.csv,target-TR_random_con_rel-linear-lvl_medium-sac-low.csv,trend_random_con.csv
92,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,medium,none,dataset-TR_random_con_rel-linear-lvl_medium-sac-none.csv,target-TR_random_con_rel-linear-lvl_medium-sac-none.csv,trend_random_con.csv
93,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,high,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-high.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-high.csv,trend_random_con.csv
94,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,low,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-low.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-low.csv,trend_random_con.csv
95,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,medium,none,dataset-TR_random_con_rel-polynom2-lvl_medium-sac-none.csv,target-TR_random_con_rel-polynom2-lvl_medium-sac-none.csv,trend_random_con.csv
96,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,medium,high,dataset-TR_random_con_rel-polynom3-lvl_medium-sac-high.csv,target-TR_random_con_rel-polynom3-lvl_medium-sac-high.csv,trend_random_con.csv
97,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,medium,low,dataset-TR_random_con_rel-polynom3-lvl_medium-sac-low.csv,target-TR_random_con_rel-polynom3-lvl_medium-sac-low.csv,trend_random_con.csv
98,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,medium,none,dataset-TR_random_con_rel-polynom3-lvl_medium-sac-none.csv,target-TR_random_con_rel-polynom3-lvl_medium-sac-none.csv,trend_random_con.csv
99,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,large,high,dataset-TR_random_con_rel-linear-lvl_large-sac-high.csv,target-TR_random_con_rel-linear-lvl_large-sac-high.csv,trend_random_con.csv
100,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,large,low,dataset-TR_random_con_rel-linear-lvl_large-sac-low.csv,target-TR_random_con_rel-linear-lvl_large-sac-low.csv,trend_random_con.csv
101,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_con,large,none,dataset-TR_random_con_rel-linear-lvl_large-sac-none.csv,target-TR_random_con_rel-linear-lvl_large-sac-none.csv,trend_random_con.csv
102,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,large,high,dataset-TR_random_con_rel-polynom2-lvl_large-sac-high.csv,target-TR_random_con_rel-polynom2-lvl_large-sac-high.csv,trend_random_con.csv
103,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,large,low,dataset-TR_random_con_rel-polynom2-lvl_large-sac-low.csv,target-TR_random_con_rel-polynom2-lvl_large-sac-low.csv,trend_random_con.csv
104,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_con,large,none,dataset-TR_random_con_rel-polynom2-lvl_large-sac-none.csv,target-TR_random_con_rel-polynom2-lvl_large-sac-none.csv,trend_random_con.csv
105,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,large,high,dataset-TR_random_con_rel-polynom3-lvl_large-sac-high.csv,target-TR_random_con_rel-polynom3-lvl_large-sac-high.csv,trend_random_con.csv
106,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,large,low,dataset-TR_random_con_rel-polynom3-lvl_large-sac-low.csv,target-TR_random_con_rel-polynom3-lvl_large-sac-low.csv,trend_random_con.csv
107,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_con,large,none,dataset-TR_random_con_rel-polynom3-lvl_large-sac-none.csv,target-TR_random_con_rel-polynom3-lvl_large-sac-none.csv,trend_random_con.csv
108,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,small,high,dataset-TR_random_dis_rel-linear-lvl_small-sac-high.csv,target-TR_random_dis_rel-linear-lvl_small-sac-high.csv,trend_random_dis.csv
109,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,small,low,dataset-TR_random_dis_rel-linear-lvl_small-sac-low.csv,target-TR_random_dis_rel-linear-lvl_small-sac-low.csv,trend_random_dis.csv
110,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,small,none,dataset-TR_random_dis_rel-linear-lvl_small-sac-none.csv,target-TR_random_dis_rel-linear-lvl_small-sac-none.csv,trend_random_dis.csv
111,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,small,high,dataset-TR_random_dis_rel-polynom2-lvl_small-sac-high.csv,target-TR_random_dis_rel-polynom2-lvl_small-sac-high.csv,trend_random_dis.csv
112,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,small,low,dataset-TR_random_dis_rel-polynom2-lvl_small-sac-low.csv,target-TR_random_dis_rel-polynom2-lvl_small-sac-low.csv,trend_random_dis.csv
113,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,small,none,dataset-TR_random_dis_rel-polynom2-lvl_small-sac-none.csv,target-TR_random_dis_rel-polynom2-lvl_small-sac-none.csv,trend_random_dis.csv
114,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,small,high,dataset-TR_random_dis_rel-polynom3-lvl_small-sac-high.csv,target-TR_random_dis_rel-polynom3-lvl_small-sac-high.csv,trend_random_dis.csv
115,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,small,low,dataset-TR_random_dis_rel-polynom3-lvl_small-sac-low.csv,target-TR_random_dis_rel-polynom3-lvl_small-sac-low.csv,trend_random_dis.csv
116,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,small,none,dataset-TR_random_dis_rel-polynom3-lvl_small-sac-none.csv,target-TR_random_dis_rel-polynom3-lvl_small-sac-none.csv,trend_random_dis.csv
117,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,medium,high,dataset-TR_random_dis_rel-linear-lvl_medium-sac-high.csv,target-TR_random_dis_rel-linear-lvl_medium-sac-high.csv,trend_random_dis.csv
118,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,medium,low,dataset-TR_random_dis_rel-linear-lvl_medium-sac-low.csv,target-TR_random_dis_rel-linear-lvl_medium-sac-low.csv,trend_random_dis.csv
119,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,medium,none,dataset-TR_random_dis_rel-linear-lvl_medium-sac-none.csv,target-TR_random_dis_rel-linear-lvl_medium-sac-none.csv,trend_random_dis.csv
120,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,medium,high,dataset-TR_random_dis_rel-polynom2-lvl_medium-sac-high.csv,target-TR_random_dis_rel-polynom2-lvl_medium-sac-high.csv,trend_random_dis.csv
121,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,medium,low,dataset-TR_random_dis_rel-polynom2-lvl_medium-sac-low.csv,target-TR_random_dis_rel-polynom2-lvl_medium-sac-low.csv,trend_random_dis.csv
122,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,medium,none,dataset-TR_random_dis_rel-polynom2-lvl_medium-sac-none.csv,target-TR_random_dis_rel-polynom2-lvl_medium-sac-none.csv,trend_random_dis.csv
123,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,medium,high,dataset-TR_random_dis_rel-polynom3-lvl_medium-sac-high.csv,target-TR_random_dis_rel-polynom3-lvl_medium-sac-high.csv,trend_random_dis.csv
124,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,medium,low,dataset-TR_random_dis_rel-polynom3-lvl_medium-sac-low.csv,target-TR_random_dis_rel-polynom3-lvl_medium-sac-low.csv,trend_random_dis.csv
125,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,medium,none,dataset-TR_random_dis_rel-polynom3-lvl_medium-sac-none.csv,target-TR_random_dis_rel-polynom3-lvl_medium-sac-none.csv,trend_random_dis.csv
126,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,large,high,dataset-TR_random_dis_rel-linear-lvl_large-sac-high.csv,target-TR_random_dis_rel-linear-lvl_large-sac-high.csv,trend_random_dis.csv
127,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,large,low,dataset-TR_random_dis_rel-linear-lvl_large-sac-low.csv,target-TR_random_dis_rel-linear-lvl_large-sac-low.csv,trend_random_dis.csv
128,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",random_dis,large,none,dataset-TR_random_dis_rel-linear-lvl_large-sac-none.csv,target-TR_random_dis_rel-linear-lvl_large-sac-none.csv,trend_random_dis.csv
129,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,large,high,dataset-TR_random_dis_rel-polynom2-lvl_large-sac-high.csv,target-TR_random_dis_rel-polynom2-lvl_large-sac-high.csv,trend_random_dis.csv
130,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,large,low,dataset-TR_random_dis_rel-polynom2-lvl_large-sac-low.csv,target-TR_random_dis_rel-polynom2-lvl_large-sac-low.csv,trend_random_dis.csv
131,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",random_dis,large,none,dataset-TR_random_dis_rel-polynom2-lvl_large-sac-none.csv,target-TR_random_dis_rel-polynom2-lvl_large-sac-none.csv,trend_random_dis.csv
132,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,large,high,dataset-TR_random_dis_rel-polynom3-lvl_large-sac-high.csv,target-TR_random_dis_rel-polynom3-lvl_large-sac-high.csv,trend_random_dis.csv
133,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,large,low,dataset-TR_random_dis_rel-polynom3-lvl_large-sac-low.csv,target-TR_random_dis_rel-polynom3-lvl_large-sac-low.csv,trend_random_dis.csv
134,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",random_dis,large,none,dataset-TR_random_dis_rel-polynom3-lvl_large-sac-none.csv,target-TR_random_dis_rel-polynom3-lvl_large-sac-none.csv,trend_random_dis.csv
